Date,Murban,Ice Brent,Oman,Dubai,Nymex WTI
28 Nov 2019,65.230,63.87,63.170,63.300,57.760
27 Nov 2019,65.520,64.28,63.690,64.020,58.390
26 Nov 2019,64.650,63.58,63.170,63.020,57.890
25 Nov 2019,64.890,63.68,63.680,63.520,57.980
22 Nov 2019,65.080,63.84,64.630,63.780,58.370
21 Nov 2019,63.420,62.17,63.120,62.130,56.830
20 Nov 2019,61.640,60.55,61.440,60.330,54.930
19 Nov 2019,63.160,62.31,62.820,61.800,56.840
18 Nov 2019,64.120,63.26,63.790,62.760,57.840
15 Nov 2019,63.540,62.48,63.020,61.960,57.010
14 Nov 2019,64.170,62.83,63.380,62.290,57.530
13 Nov 2019,63.290,61.73,62.850,61.300,56.610
12 Nov 2019,63.460,62.48,63.330,61.970,57.080
11 Nov 2019,62.440,61.85,62.430,60.950,56.580
08 Nov 2019,62.260,61.76,61.960,60.780,56.560
07 Nov 2019,62.530,62.05,62.120,61.010,56.690
06 Nov 2019,62.940,62.51,62.750,61.340,56.890
05 Nov 2019,62.720,62.45,62.480,61.200,56.760
04 Nov 2019,62.120,61.52,61.870,60.410,56.050
01 Nov 2019,60.270,59.59,59.870,58.540,54.270
31 Oct 2019,62.250,61.04,60.880,60.870,55.470
30 Oct 2019,62.680,61.51,61.650,61.290,55.350
29 Oct 2019,62.410,61.15,61.110,61.410,55.320
28 Oct 2019,,61.74,,,#N/A
25 Oct 2019,62.560,61.32,62.390,61.580,55.880
24 Oct 2019,62.070,60.76,62.410,60.800,55.490
23 Oct 2019,60.870,59.42,60.740,59.450,54.120
22 Oct 2019,60.490,58.94,59.950,58.940,53.220
21 Oct 2019,60.890,59.28,60.170,59.380,53.800
18 Oct 2019,61.200,59.82,60.760,59.750,54.010
17 Oct 2019,60.580,59.08,60.300,59.110,52.950
16 Oct 2019,60.350,58.62,59.750,58.690,52.770
15 Oct 2019,61.200,59.01,60.370,59.390,53.270
14 Oct 2019,61.900,59.90,60.900,59.830,54.180
11 Oct 2019,62.330,60.49,61.410,60.640,54.760
10 Oct 2019,59.740,58.27,58.780,57.860,52.570
09 Oct 2019,59.290,58.01,58.780,57.540,52.420
08 Oct 2019,59.820,58.65,59.060,58.210,52.950
07 Oct 2019,59.830,58.57,58.980,58.430,53.080
04 Oct 2019,59.290,58.12,58.530,57.830,52.780
03 Oct 2019,58.900,57.69,57.950,57.280,52.730
02 Oct 2019,59.240,59.05,59.250,58.520,54.040
01 Oct 2019,59.790,59.94,59.760,59.110,54.710
30 Sep 2019,61.300,61.40,61.770,60.750,55.620
27 Sep 2019,63.220,62.70,62.690,61.950,56.520
26 Sep 2019,62.860,62.30,62.120,61.910,56.380
25 Sep 2019,62.580,62.19,62.150,61.500,56.590
24 Sep 2019,64.450,64.11,63.870,63.430,58.120
23 Sep 2019,64.600,64.25,64.200,63.360,58.150
20 Sep 2019,65.340,64.73,64.810,64.450,58.610
19 Sep 2019,64.270,63.96,63.790,63.070,58.300
18 Sep 2019,65.070,64.50,63.890,63.270,59.050
17 Sep 2019,69.150,68.82,68.620,67.710,62.200
16 Sep 2019,64.810,65.47,64.740,63.920,59.140
13 Sep 2019,60.040,60.13,59.430,58.350,54.930
12 Sep 2019,60.950,61.10,60.440,59.250,56.110
11 Sep 2019,62.260,62.92,62.000,60.830,57.910
10 Sep 2019,62.230,62.72,62.030,60.980,58.010
09 Sep 2019,61.280,61.71,61.340,59.980,56.720
06 Sep 2019,60.630,60.94,60.330,59.220,56.250
05 Sep 2019,60.080,60.40,59.400,58.410,55.880
04 Sep 2019,58.440,58.60,57.590,56.790,54.360
03 Sep 2019,57.830,58.08,57.470,56.480,54.380
02 Sep 2019,58.780,58.90,58.790,57.710,54.930
30 Aug 2019,61.320,60.83,60.300,59.630,56.280
29 Aug 2019,61.000,60.47,59.180,59.350,56.070
28 Aug 2019,60.620,59.89,59.460,59.120,55.500
27 Aug 2019,59.470,58.96,58.990,58.030,53.950
26 Aug 2019,59.970,59.49,59.470,58.700,54.300
23 Aug 2019,60.740,59.94,60.320,59.400,55.350
22 Aug 2019,61.490,60.48,61.250,60.160,55.920
21 Aug 2019,61.190,60.42,60.940,59.890,56.330
20 Aug 2019,60.460,59.91,60.010,59.170,56.420
19 Aug 2019,59.580,59.20,59.350,58.340,55.410
16 Aug 2019,59.420,59.18,59.300,58.250,55.290
15 Aug 2019,59.510,59.23,59.260,58.270,55.130
14 Aug 2019,60.800,60.62,60.610,59.530,56.290
13 Aug 2019,58.900,58.52,58.660,57.740,54.880
12 Aug 2019,,58.20,,,#N/A
09 Aug 2019,,57.69,,,#N/A
08 Aug 2019,57.940,57.44,57.790,56.710,52.540
07 Aug 2019,59.100,58.84,58.940,57.840,53.620
06 Aug 2019,60.060,60.03,59.830,58.830,55.070
05 Aug 2019,60.770,60.95,60.700,59.620,54.760
02 Aug 2019,61.590,61.75,61.580,60.300,54.850
01 Aug 2019,64.320,64.26,63.860,62.970,57.760
31 Jul 2019,65.800,65.18,65.280,64.230,58.310
30 Jul 2019,65.040,64.27,63.780,63.520,57.360
29 Jul 2019,63.940,63.02,63.380,62.370,56.000
26 Jul 2019,64.330,63.38,63.930,62.840,56.110
